  
       XFOIL         Version 6.96
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   5.250   1.7847   0.02474   0.01630  -0.2723   0.4064   1.0000
   5.500   1.8093   0.02518   0.01680  -0.2716   0.4033   1.0000
   5.750   1.8348   0.02563   0.01730  -0.2712   0.4004   1.0000
   6.000   1.8609   0.02606   0.01772  -0.2708   0.3974   1.0000
   6.250   1.8886   0.02652   0.01812  -0.2708   0.3945   1.0000
   6.500   1.9197   0.02729   0.01880  -0.2717   0.3915   1.0000
   6.750   1.9392   0.02771   0.01940  -0.2700   0.3886   1.0000
   7.000   1.9602   0.02819   0.02000  -0.2687   0.3853   1.0000
   7.250   1.9826   0.02863   0.02052  -0.2676   0.3819   1.0000
   7.500   2.0067   0.02903   0.02093  -0.2669   0.3785   1.0000
   7.750   2.0339   0.02946   0.02130  -0.2669   0.3753   1.0000
   8.000   2.0592   0.03015   0.02202  -0.2666   0.3720   1.0000
   8.250   2.0753   0.03067   0.02275  -0.2643   0.3686   1.0000
   8.500   2.0938   0.03118   0.02338  -0.2626   0.3649   1.0000
   8.750   2.1151   0.03159   0.02385  -0.2614   0.3614   1.0000
   9.000   2.1400   0.03193   0.02415  -0.2609   0.3580   1.0000
   9.250   2.1647   0.03255   0.02477  -0.2605   0.3542   1.0000
   9.500   2.1738   0.03312   0.02558  -0.2569   0.3501   1.0000
   9.750   2.1881   0.03358   0.02617  -0.2543   0.3458   1.0000
  10.000   2.2074   0.03388   0.02649  -0.2527   0.3419   1.0000
  10.250   2.2356   0.03427   0.02675  -0.2530   0.3375   1.0000
  10.500   2.2334   0.03499   0.02779  -0.2473   0.3333   1.0000
  10.750   2.2372   0.03556   0.02851  -0.2428   0.3287   1.0000
  11.000   2.2491   0.03592   0.02890  -0.2399   0.3244   1.0000
  11.250   2.2719   0.03633   0.02923  -0.2392   0.3200   1.0000
  11.500   2.2654   0.03739   0.03060  -0.2331   0.3160   1.0000
  11.750   2.2678   0.03827   0.03165  -0.2287   0.3114   1.0000
  12.000   2.2764   0.03890   0.03234  -0.2256   0.3070   1.0000
  12.250   2.2901   0.03956   0.03299  -0.2234   0.3026   1.0000
  12.500   2.2823   0.04106   0.03479  -0.2178   0.2977   1.0000
  12.750   2.2837   0.04222   0.03610  -0.2139   0.2928   1.0000
  13.000   2.2919   0.04308   0.03696  -0.2111   0.2881   1.0000
  13.250   2.2866   0.04490   0.03903  -0.2067   0.2828   1.0000
  13.500   2.2836   0.04662   0.04092  -0.2029   0.2770   1.0000
  13.750   2.2883   0.04791   0.04219  -0.2001   0.2718   1.0000
  14.000   2.2781   0.05052   0.04510  -0.1961   0.2651   1.0000
  14.250   2.2747   0.05267   0.04732  -0.1931   0.2586   1.0000
  14.500   2.2675   0.05551   0.05034  -0.1902   0.2514   1.0000
  14.750   2.2602   0.05848   0.05337  -0.1876   0.2440   1.0000
  15.000   2.2502   0.06209   0.05715  -0.1854   0.2361   1.0000
  15.250   2.2389   0.06600   0.06107  -0.1835   0.2284   1.0000
  15.500   2.2241   0.07075   0.06600  -0.1821   0.2198   1.0000
  15.750   2.2082   0.07580   0.07108  -0.1811   0.2121   1.0000
  16.000   2.1887   0.08179   0.07721  -0.1807   0.2035   1.0000
  16.250   2.1686   0.08806   0.08356  -0.1809   0.1957   1.0000
  16.500   2.1474   0.09474   0.09029  -0.1815   0.1879   1.0000
