Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e376-il-200000
Airfoil,e376-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,92.6533
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-e376-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
14.500,1.5378,0.09142,0.08592,-0.0815,0.0120,1.0000
14.750,1.5308,0.09665,0.09141,-0.0824,0.0121,1.0000
15.000,1.5216,0.10239,0.09740,-0.0839,0.0122,1.0000
15.250,1.5105,0.10857,0.10382,-0.0860,0.0123,1.0000
15.500,1.4981,0.11513,0.11062,-0.0886,0.0124,1.0000
15.750,1.4850,0.12203,0.11775,-0.0918,0.0125,1.0000
16.000,1.4712,0.12929,0.12522,-0.0955,0.0126,1.0000
16.250,1.4572,0.13695,0.13309,-0.0999,0.0127,1.0000
16.500,1.4428,0.14499,0.14131,-0.1047,0.0128,1.0000
16.750,1.4287,0.15326,0.14977,-0.1099,0.0129,1.0000
